"id","favs","retweets","user"
"872787388027764736","3","0","Alexander Serebrenik"
"872787270423769088","0","1","Yuriy Tymchuk"
"872787205860806657","0","3","Yuriy Tymchuk"
"872786996816740352","4","0","Alexander Serebrenik"
"872787427970220032","0","3","Manuel Leuenberger"
"872788317015769088","0","0","Dorealda Dalipaj"
"872788031769649152","1","0","Alexander Serebrenik"
"872787898185252864","0","6","Dorealda Dalipaj"
"872787627476492293","7","1","Tushar Sharma"
"872820568327958528","0","2","Daniel Izquierdo"
"872820458294521858","0","0","Daniel Izquierdo"
"872811567347376129","0","0","Alexander Serebrenik"
"872810321244811264","2","0","Dorealda Dalipaj"
"872809661707235329","0","1","Yuriy Tymchuk"
"872809335121956865","7","1","Vadim Zaytsev"
"872809074123001856","0","4","Tushar Sharma"
"872808965461209088","2","1","Alexander Serebrenik"
"872808255214555137","3","2","Alexander Serebrenik"
"872807737444507650","1","1","Alexander Serebrenik"
"872807604447301633","2","1","Vadim Zaytsev"
"872807392047706113","1","0","Dorealda Dalipaj"
"872806827523788802","2","0","Alexander Serebrenik"
"872806755088125952","0","1","Julian"
"872806589182488576","1","0","Alexander Serebrenik"
"872806556949254144","1","0","Vadim Zaytsev"
"872805792377954305","1","0","Andrei Chis"
"872805281687904256","2","0","Yuriy Tymchuk"
"872805250146631680","0","0","Alexander Serebrenik"
"872804497785073664","1","0","Dorealda Dalipaj"
"872804260941103104","0","1","Julian"
"872804207262396416","0","2","Alexander Serebrenik"
"872804127558049793","3","0","Alexander Serebrenik"
"872804002119004162","0","0","Vadim Zaytsev"
"872803695179829248","3","1","Vadim Zaytsev"
"872803596504576000","3","0","Alexander Serebrenik"
"872803476761456641","1","0","Nick Lodewijks"
"872803295370371072","0","0","Ali Parsai"
"872803236574621696","5","0","Yuriy Tymchuk"
"872802781148712960","3","1","Vadim Zaytsev"
"872802125260222464","0","1","Tushar Sharma"
"872801283790524417","6","3","Marco di Biase"
"872801271094358017","2","0","Alexander Serebrenik"
"872800468740841472","2","1","Yuriy Tymchuk"
"872800142696513536","0","3","Tushar Sharma"
"872800024966594560","2","0","Nick Lodewijks"
"872799895857639424","0","2","Tushar Sharma"
"872799652520886272","0","2","Tushar Sharma"
"872799627829006337","0","0","Alexander Serebrenik"
"872799618458939393","3","0","Vadim Zaytsev"
"872799604991045633","0","1","Tushar Sharma"
"872799050717954048","7","1","Alexander Serebrenik"
"872798520968871937","1","0","Alexander Serebrenik"
"872798385501294592","1","0","Vadim Zaytsev"
"872797560502710274","0","0","Nick Lodewijks"
"872797504332603392","0","3","Alexander Serebrenik"
"872797467225579520","4","2","Vadim Zaytsev"
"872797209087143936","0","0","Alexander Serebrenik"
"872797125817626624","1","0","Dorealda Dalipaj"
"872796857763758080","3","3","Vadim Zaytsev"
"872796008144568321","0","0","Alexander Serebrenik"
"872795631412228096","0","0","Alexander Serebrenik"
"872795586826842112","0","0","Nick Lodewijks"
"872795296060854272","1","0","Yuriy Tymchuk"
"872795206298587136","0","4","Alexander Serebrenik"
"872794796104003584","0","0","Yuriy Tymchuk"
"872794260768206848","4","2","Yuriy Tymchuk"
"872793952923078657","1","1","Alexander Serebrenik"
"872793911722463233","0","1","Alaaeddin Swidan"
"872793340105957376","2","1","Dorealda Dalipaj"
"872793219217715201","0","2","Yuriy Tymchuk"
"872793135272820736","2","0","Alexander Serebrenik"
"872792660137971715","5","2","Vadim Zaytsev"
"872792450619912192","1","1","Alexander Serebrenik"
"872792039204716546","0","6","Eleni Constantinou"
"872791775202639872","2","0","Alexander Serebrenik"
"872791732487950336","0","1","Vadim Zaytsev"
"872791588581388288","2","0","Dorealda Dalipaj"
"872791012124631041","1","0","Alexander Serebrenik"
"872790909519265793","2","1","Nick Lodewijks"
"872790849825931266","2","0","Vadim Zaytsev"
"872790580128075776","5","0","Vadim Zaytsev"
"872790530245226496","1","0","Alexander Serebrenik"
"872790385453670400","0","1","Vadim Zaytsev"
"872789754609381376","0","0","Alexander Serebrenik"
"872789691883552769","0","1","Nevena Milojkovic"
"872789474622799873","0","1","Nevena Milojkovic"
"872789433988386816","1","0","Dorealda Dalipaj"
"872789123572092928","3","1","Yuriy Tymchuk"
"872952060949475329","0","0","Vadim Zaytsev"
"872952060819406848","0","0","Vadim Zaytsev"
"872951730639646720","0","1","Alexander Serebrenik"
"872951520270188544","0","1","Alexander Serebrenik"
"872951220075364353","0","1","Tushar Sharma"
"872949997171601410","4","1","Davide Spadini"
"872949406491967488","2","1","Felienne"
"872949397067354112","0","5","Davide Spadini"
"872945622407577600","0","1","Ali Parsai"
"872945458762706945","2","1","Alexander Serebrenik"
"872945170710396931","0","5","Ali Parsai"
"872943773562621952","6","0","Kim Mens"
"872925944356458496","0","5","Daniel Izquierdo"
"872909312510898176","0","2","Alexander Serebrenik"
